,Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap,Geograph/MountainViews,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Tu=,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,1=,0,W,WO,B,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,MDew,sMDew,Ca,Bin,O,Un,coords
13919,13920,Hare Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,66,345E,398.0,1306,NT545625,NT 54512 62538,40.0,NT535625,358.0,no feature: ground near fence,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=354512&y=662543&z=3&sv=354512,662543&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.853923&lon=-2.728175,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13920,354512,662543,55.853922999999995,-2.728175,NT5451262543,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (354511.6857234538 662542.7006754283)
13948,13949,Soutra Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,Midlothian/Scottish Borders,3,66 73,345W,377.0,1237,NT450580,NT 45068 57998,42.0,NT465586,335.0,small boulder by small shallow excavation,,Abney level,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=345068&y=658003&z=3&sv=345068,658003&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.812151&lon=-2.878093,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13949,345068,658003,55.812151,-2.8780930000000002,NT4506858003,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (345067.4811665426 658002.6994423862)
13963,13964,Dod Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,67,345E,369.0,1211,NT568646,NT 56845 64605,31.0,NT571644,338.0,no feature: pasture,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=356845&y=664610&z=3&sv=356845,664610&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.872709&lon=-2.691241,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=13964,356845,664610,55.87270899999999,-2.6912409999999998,NT5684564610,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (356844.7496615232 664609.7779269384)
13999,14000,Leven Seat,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,3,65 72,343,356.0,1168,NS946575,NS 94642 57589,38.0,NS952577,318.0,trig point,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=294640&y=657594&z=3&sv=294640,657594&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.800104&lon=-3.68227,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14000,294640,657594,55.800104000000005,-3.6822699999999995,NS9464057594,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (294640.4310011441 657593.8834166559)
14000,14001,Watch Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,67,351E,356.0,1168,NT658703,,32.0,NT638706,324.0,,ill-defined summit area,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=365800&y=670300&z=3&sv=365800,670300&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.924549&lon=-2.548861,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14001,365800,670300,55.924549,-2.548861,NT6580070300,28.1,1819,Spartleton,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (365799.7034994858 670299.559631129)
14011,14012,Auchinoon Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,3,65,344,351.0,1152,NT093625,NT 09331 62511,75.0,NT087608,276.0,upright stone,flat summit area,,,S,,15-Mar-15,,"http://www.streetmap.co.uk/newmap.srf?x=309330&y=662516&z=3&sv=309330,662516&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.847296&lon=-3.44968,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14012,309330,662516,55.84729599999999,-3.4496800000000003,NT0933062516,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (309329.7471891645 662515.9027655139)
14020,14021,Corston Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,3,65,344,348.0,1142,NT094634,NT 09463 63409,46.0,NT097629,302.0,trig point,flat summit area,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=309461&y=663414&z=3&sv=309461,663414&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.855387&lon=-3.447873,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14021,309461,663414,55.855387,-3.4478730000000004,NT0946163414,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (309461.7175265242 663413.939605392)
14077,14078,Highside Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,3,66,345E,314.0,1030,NT518637,NT 51826 63713,32.0,NT516635,282.0,no feature,flat summit area,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=351826&y=663718&z=3&sv=351826,663718&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.864218&lon=-2.771286,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14078,351826,663718,55.86421800000001,-2.771286,NT5182663718,28.1,1813,Meikle Says Law,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (351825.5900361193 663717.714779645)
14106,14107,Toxsidehill,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,3,66 73,344,300.0,984,NT284543,NT 28415 54302,30.0,NT291537,270.0,no feature: ground c 20m N of trig point,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=328414&y=654307&z=3&sv=328414,654307&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.776764&lon=-3.142795,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14107,328414,654307,55.776764,-3.142795,NT2841454307,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (328414.086132746 654306.6070689654)
14111,14112,Witch Craig,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,287.0,942,NS990726,,43.0,NS991722,244.0,,,,,S,,24-Jul-13,,"http://www.streetmap.co.uk/newmap.srf?x=299000&y=672600&z=3&sv=299000,672600&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.935805&lon=-3.618348,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14112,299000,672600,55.935805,-3.618348,NS9900072600,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (299000.3820657065 672599.4390167836)
14116,14117,King's Seat,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66 73,344,295.0,968,NT267585,NT 26742 58569,39.0,NT265579,256.0,trig point,ground a few metres S may be as high,,,S,,15-Mar-15,,"http://www.streetmap.co.uk/newmap.srf?x=326741&y=658574&z=3&sv=326741,658574&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.814845&lon=-3.17061,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14117,326741,658574,55.814845,-3.17061,NT2674158574,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (326741.0537139572 658573.7124872148)
14121,14122,Tippet Knowe,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,343,290.0,951,NS921611,NS 92120 61170,49.0,NS890580,241.0,grassy hillock,,obvious summit,,S,,15-Mar-15,,"http://www.streetmap.co.uk/newmap.srf?x=292118&y=661175&z=3&sv=292118,661175&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.831708&lon=-3.723904,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14122,292118,661175,55.831708,-3.723904,NS9211861175,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (292118.3424902559 661174.9216159433)
14122,14123,Raven Craig,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,290.0,951,NS990705,NS 99100 70498,36.0,NS989706,254.0,no feature: ground near path,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=299098&y=670504&z=3&sv=299098,670504&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.916998&lon=-3.615993,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14123,299098,670504,55.916998,-3.615993,NS9909870504,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (299098.5686308778 670503.1023356986)
14146,14147,Cockleroy,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,278.0,912,NS989743,NS 98945 74368,59.0,NS994737,219.0,ground by trig point,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=298943&y=674374&z=3&sv=298943,674374&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.951723&lon=-3.619922,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14147,298943,674374,55.951723,-3.6199220000000003,NS9894374374,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (298943.574939356 674373.1446701898)
14148,14149,Warklaw Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,2,65 66,344 350,278.0,912,NT198673,NT 19856 67356,44.0,NT197667,234.0,no feature: ground SW of mast,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=319855&y=667361&z=3&sv=319855,667361&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.892683&lon=-3.283065,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14149,319855,667361,55.892683,-3.283065,NT1985567361,28.1,1816,Allermuir Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (319854.9742252909 667360.9817565343)
14160,14161,Halk Law,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66 73,345W,270.0,886,NT344581,NT 34488 58175,44.0,NT338575,226.0,no feature,Top 350m SW at NT 34173 58044(no feature)not separable with Abney level,Abney level,,S,,15-Mar-15,alternative summit at NT342580,"http://www.streetmap.co.uk/newmap.srf?x=334487&y=658180&z=3&sv=334487,658180&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.81242&lon=-3.046929,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14161,334487,658180,55.812419999999996,-3.046929,NT3448758180,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (334487.2200153965 658179.7210556519)
14162,14163,Camp Wood Hill,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66,345W,269.0,883,NT359638,NT 35982 63846,81.0,NT373602,188.0,mound,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=335982&y=663851&z=3&sv=335982,663851&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.863567&lon=-3.024432,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14163,335982,663851,55.863567,-3.024432,NT3598263851,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (335981.298564335 663850.8383938518)
14163,14164,Harle Rigging,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66,345W,269.0,883,NT400613,NT 40062 61376,46.0,NT393602,223.0,no feature,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=340062&y=661381&z=3&sv=340062,661381&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.841902&lon=-2.958707,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14164,340062,661381,55.841902000000005,-2.958707,NT4006261381,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (340061.3451147898 661380.7496571077)
14171,14172,Blaik Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,Un,67,351E,263.0,863,NT665717,,26.0,NT665716,237.0,,,,,S,,02-Apr-14,Deleted April 2014,"http://www.streetmap.co.uk/newmap.srf?x=366500&y=671700&z=3&sv=366500,671700&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.937176&lon=-2.537834,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14172,366500,671700,55.937176,-2.537834,NT6650071700,28.1,1819,Spartleton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,POINT (366499.7149937345 671699.4980212678)
14176,14177,Kaimes Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,2,65,344 350,259.0,850,NT129665,NT 12956 66513,71.0,NT129662,188.0,outcrop,,,,S,,23-Dec-16,,"http://www.streetmap.co.uk/newmap.srf?x=312955&y=666518&z=3&sv=312955,666518&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.883912&lon=-3.393089,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14177,312955,666518,55.883912,-3.393089,NT1295566518,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (312954.8496773603 666517.9847461333)
14184,14185,Riccarton Hills,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,254.0,833,NT018737,NT 01824 73717,47.0,NT009734,207.0,cairn,,,,S,,24-Jul-13,,"http://www.streetmap.co.uk/newmap.srf?x=301822&y=673723&z=3&sv=301822,673723&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.946473&lon=-3.573599,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14185,301822,673723,55.946473,-3.5735989999999997,NT0182273723,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (301822.6067179545 673722.0881762952)
14186,14187,Eastcraigs Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,250.0,820,NS903680,NS 90351 68007,34.0,NS868681,216.0,large boulder near trig point,,,,S,,24-Aug-15,,"http://www.streetmap.co.uk/newmap.srf?x=290349&y=668013&z=3&sv=290349,668013&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.892711&lon=-3.754898,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14187,290349,668013,55.892711,-3.7548980000000003,NS9034968013,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (290349.3666226118 668012.0421494995)
14192,14193,Dalmahoy Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,2,65,344 350,246.0,807,NT135669,NT 13540 66931,38.0,NT133667,208.0,trig point,ground 200m NE may be as high,,,S,,20-Jan-12,Another 246m spot height at NT136669,"http://www.streetmap.co.uk/newmap.srf?x=313539&y=666936&z=3&sv=313539,666936&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.887772&lon=-3.38389,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14193,313539,666936,55.887772,-3.38389,NT1353966936,28.1,1809,East Cairn Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (313538.8376551292 666936.0019702113)
14195,14196,Gallow Hill,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66,345W,242.0,794,NT360613,NT 36087 61348,32.0,NT353616,210.0,no feature: grass,,Abney level,,S,,09-Nov-16,,"http://www.streetmap.co.uk/newmap.srf?x=336086&y=661353&z=3&sv=336086,661353&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.84114&lon=-3.022166,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14196,336086,661353,55.84114,-3.022166,NT3608661353,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (336086.2530979324 661352.809495341)
14207,14208,Gormyre Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,236.0,774,NS976726,NS 97645 72661,37.0,NS982727,199.0,no feature,,,,S,,15-Mar-15,,"http://www.streetmap.co.uk/newmap.srf?x=297643&y=672667&z=3&sv=297643,672667&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.936117&lon=-3.640084,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14208,297643,672667,55.936117,-3.6400839999999994,NS9764372667,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (297643.4966544927 672666.1550957365)
14218,14219,Bowden Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,2,65,349E,229.0,751,NS977744,NS 97784 74416,42.0,NS980744,187.0,no feature,,,,S,,20-Jan-12,,"http://www.streetmap.co.uk/newmap.srf?x=297782&y=674422&z=3&sv=297782,674422&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.951909&lon=-3.638525,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14219,297782,674422,55.95190899999999,-3.638525,NS9778274422,28.1,1827,Cairnpapple Hill,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (297782.5317575051 674421.2213892565)
14219,14220,Dodridge Law,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian,2,66,345W,228.0,748,NT417630,,30.0,NT413622,198.0,,,,,S,,20-Jan-12,potential alternative summit candidate 600m S in Marl Law Wood NT416623,"http://www.streetmap.co.uk/newmap.srf?x=341700&y=663000&z=3&sv=341700,663000&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.856646&lon=-2.932896,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=14220,341700,663000,55.856646,-2.932896,NT4170063000,28.1,1802,Blackhope Scar,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (341699.7712243525 662999.5586539711)
